№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес,Район,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Координаты
11917,"СПб ГБ ПОУ ""РКТК"", Учебная гостиница ""Лицейская""",гостиница,142,282,"Санкт-Петербург,  пр.Дальневосточный, 51",Невский,+7(812)4467475;,нет,http://rktk.org/rktk_new/,hotel51@mail.ru,"Гостиница «Лицейская» предлагает размещение в номерах следующих категорий:

1 категория (номера с удобствами в номере);

2 категория (номера с удобствами на 2 комнаты);

5 категория (номера с удобствами на этаже, размещение не более 4-х человек в комнате).

На территории колледжа действует столовая (170 посадочных мест, от 200 рублей на выбор из предложенного меню завтрак/обед/ужин), актовый зал, спортивный зал, открытые спортивные площадки.

 В непосредственной близости находятся исторические памятники: «Журавли», «Невская застава».","• телевидение
 • холодильник","59.888284,30.463021"
11919,ДОМИК У ПРИЧАЛА,гостиница,33,66,"Санкт-Петербург, Ломоносов, наб. Сидоровского канала, 3-а;",Петродворцовый,+7(812)4220707;,+7(812)4226441;,http://www.pierhouse.ru/,info@pierhouse.ru; domik0707@mail.ru,"Отель расположен на южном побережье Финского залива в одном из красивейших мест Ленинградской области - Ораниенбауме. Территория отеля благоустроена. Около отеля есть удобная парковка. Недалеко от отеля находится пляж.
 ♦ Номера в отеле комфортные, отделка выдержана в уютном домашнем стиле, в наличие детская кроватка и  стульчик, возможно использование дополнительных мест (диванов).
♦ На всей территории  отеля и ресторана WI-FI бесплатно.
♦ На первом этаже отеля находится ресторан, кафе и банкетный зал, который идеально подходит для проведения свадеб, банкетов, корпоративных праздников. 
♦ В отеле есть финская сауна с бассейном и зоной отдыха.
♦ Парковка для гостей отеля бесплатная
♦ Расположение на берегу Финского залива привлекательно для любителей морских путешествий на катерах и яхтах с возможностью их стоянки.
♦ Если Вы любите посидеть на закате с удочкой, или просто спокойно отдохнуть у воды, то «Домик у причала» — это правильный выбор.","• Wi Fi
• вызов такси
• хранение вещей после расчетного часа до отъезда
• пользование телефоном (по городу) и факсом
• утюг, аптечка
• сейф (на стойке у администратора)
• парковкаЗа дополнительную плату :

• заказ экскурсионной программы по Санкт-Петербургу и пригородам 
• регистрация иностранных граждан
• услуги прачечной
• прокат инвентаря для отдыха (столы и стулья для пикника, мангал, удочки)","59.920853,29.777759"
11921,БАЛТИЯ,гостиница,90,174,"Санкт-Петербург, ул. Смолячкова, 5, корп. 1",Выборгский,+7(812)2920440;,+7(812)2920442;,http://www.baltiyahotel.ru/,info@baltiyahotel.ru,"Добро пожаловать в отель «Балтия» - уютное пространство для работы и отдыха, которое на время пребывания в Санкт-Петербурге станет Вам домом!

БАЛТИЯ - это современный отель в Выборгском районе Санкт-Петербурга на берегу Большой Невки, недалеко от центра города и основных достопримечательностей.

БАЛТИЯ приняла первых гостей в марте 2012 года, и с тех пор остается для путешественников тихой гаванью в суете мегаполиса.","• завтрак
 • Wi-Fi
 • спутниковое телевидение
 • система кондиционирования
•бар/ресторан
•1 конференц-зал на 60 человек
• 1 переговорная комната на 10 человек
•служба консьержей
•прачечная и химчистка
•гладильные комнаты
•бесплатный Wi-Fi
•бесплатная аренда ноутбука на 2 часа
•банкомат
• заказ такси и автобусов
•камера хранения
•сейфовые ячейки
•сувенирный магазин
•круглосуточная охрана","59.970186,30.33926"
11923,М-ОТЕЛЬ,гостиница,61,115,"Санкт-Петербург, ул. Садовая, 22/2",Центральный,+7(812)4488383;,нет,http://mhotelspb.ru/,sales@mhotelspb.ru,"Гостиница «М-отель» расположена в отдельно стоящем здании в самом центре Санкт-Петербурга в тихом уютном дворе. Станция метро «Гостиный двор» и центральная улица Невский проспект — всего в 300 метрах. Такие знаменитые достопримечательности как Эрмитаж, Русский музей, Храм Спаса-на-Крови, Исаакиевский и Казанский соборы, Александринский театр, а также реки и каналы находятся в пешей доступности от отеля","завтрак
 сейф
 спутниковое телевидение
  система климат-контроля
бар /рестораны
бизнесцентр
прачечная и химчистка
гладильная комната
бесплатный Wi-Fi
охраняемая автостоянка
предоставление автотранспорта с водителем
вызов такси и автобусов
камеры хранения круглосуточная охрана","59.932919,30.334239"
11924,ИБИС САНКТ-ПЕТЕРБУРГ ЦЕНТР,гостиница,221,442,"191040, Санкт-Петербург, Лиговский пр, дом 54",Центральный,+7(812)6220100;,+7(812)6220101;,www.ibis.com/6157,h6157@accor.com,"Этот отель расположен в самом центре Санкт-Петербурга, всего в 5 минутах ходьбы от магазинов по Невскому проспекту и всего в 500 метрах от Московского железнодорожного вокзала. В номерах можно воспользоваться бесплатным Wi-Fi.

В отеле Ibis St. Petersburg Centre предлагаются номера с рабочим столом, оснащенные кондиционером и телевизором со спутниковым телевидением. В собственной ванной комнате предоставляется фен и бесплатные туалетно-косметические принадлежности.

В ресторане Ibis Kitchen подаются блюда средиземноморской кухни, а в лаундж-баре Ibis можно заказать прохладительные напитки и легкие закуски.","•Круглосуточный бар
• Завтрак в Ресторане
•5 конференц-залов от 20 до 100 человек
•Консьерж-Услуги
•Сувенирный магазин
•Услуги Прачечной и химчистки 
•Гладильная комната
•Охраняемый подземный гараж
•Банкоматы
•Авиа и ж/д билеты
•Предоставление автотранспорта с водителем
•Вызов такси и автобусов
•Камера хранения
•Доставка цветов
•Круглосуточная охрана
• Wi-Fi
 • спутниковое телевидение
 • система климат-контроля","59.911317,30.347911"
11926,AZIMUT Отель Санкт-Петербург,отель,583,1124,"190103, Санкт-Петербург, Лермонтовский пр., 43/1",Адмиралтейский,8 (812) 714-26-40,+ 7 (812) 740 26 88,http://azimuthotels.com/,spb@azimuthotels.com;reservation@azimuthotels.com,"Отель «AZIMUT Санкт-Петербург» расположен на набережной реки Фонтанки, всего в 2 станциях метро от центра города. Он занимает самое высокое здание в историческом районе Санкт-Петербурга. К услугам гостей бар с панорамным видом, ресторан и бесплатный Wi-Fi.

Все светлые номера отеля «AZIMUT Санкт-Петербург» оснащены телевизором. В числе удобств рабочий стол и собственная ванная комната с душем.","парковка, Экскурсионное бюро, Услуги по продаже билетов, Банкомат на территории отеля, Прачечная, Услуги по глажению одежды, Конференц-зал/Банкетный зал, Факс/Ксерокопирование, Сувенирный магазин, Люкс для новобрачных.завтрак, интернет","59.914953,30.29518"
11927,Центр молодежи «Алиот,гостиница,72,144,"Санкт-Петербург, ул.Возрождения, 4",Кировский,8 (812) 570-80-66,нет,http://www.aliot-spb.ru,bron@aliot-spb.ru,"В 1994 в Кировском районе Санкт-Петербурга открылась гостиница эконом класса ""Алиот"" . Это респектабельный отель, где удачно сочетаются деловой ритм и уютная атмосфера. Архитектурные решения и отделочные работы выполнены австрийскими и итальянскими специалистами. Номера декорированы картинами известных петербургских художников. Из окон гостиницы эконом класса ""Алиот"" открывается удивительная панорама северной столицы: золотые купола Исаакиевского собора, синева Финского залива, мачты кораблей и стрелы кранов в Морском порту.","• завтрак
 • Wi-Fi
 • телевизор
 • холодильник   • сейф                                 •бары/рестораны
•2 конференц-зала на 100 и 18 человек
•бизнесцентр
•служба горничных, кастелянши
•прачечная и химчистка
•охраняемая автостоянка
•банкомат
•вызов такси и автобусов
•камера хранения
•доставка цветов
•кейтеринг
•круглосуточная охрана","59.882939,30.267907"
11928,АНАБЕЛЬ Гостевые комнаты,малое средство размещения,3,9,"Санкт-Петербург, Невский пр., 88, лит Б, кв 147",Центральный,+7(812)4002211;,нет,http://anabel.ru/,info@anabel.ru,"Наши гостевые комнаты расположены по адресу Невский проспект, дом 88, в 3-х минутах ходьбы от станции метро Маяковская, в 10 минутах от Московского вокзала. Все комнаты имеют удобства, оборудованы кондиционерами и электронными замками. В холлах ведётся видеонаблюдение.","Доставка еды и напитков в номер, Прокат автомобилей, Трансфер (за дополнительную плату), Круглосуточная стойка регистрации, Экскурсионное бюро, Услуги по продаже билетов, Камера хранения багажа, Банкомат на территории отеля, Услуги консьержа, Химчистка, Услуги по глажению одежды, Чистка обуви, Факс/Ксерокопирование, Люкс для новобрачных
завтрак, чай, кофе, такси, карты","59.932518,30.35172"
11929,АНДЕРСЕН отель,отель,140,280,"197022, Санкт-Петербург, ул. Чапыгина, 4-а",Петроградский,+7(812)7405140;,,http://www.andersenhotel.ru/,karataeva@andersenhotel.ru,"Территориальное расположение отеля (10 минут пешком
до м. «Петроградская») позволяет быть в непосредственной близости
от исторических и архитектурных памятников Санкт-Петербурга, а также быстро добраться
до Невского проспекта.","Доставка еды и напитков в номер, Круглосуточная стойка регистрации, Ускоренная регистрация заезда/отъезда, Камера хранения багажа, Банкомат на территории отеля, Прачечная, Услуги по глажению одежды, Чистка обуви, Конференц-зал/Банкетный зал, Факс/Ксерокопирование, Сувенирный магазин, Люкс для новобрачных
 • завтрак
 • Wi-Fi
 • сейф
 • парковка","59.973118,30.306804"
11930,АННУШКА,гостиница,86,157,"Санкт-Петербург, Гапсальская ул., 2",Кировский,+7(812)7033090;,нет,http://www.annhotel.ru/,info@annhotel.ru,"Бизнес-отель ""Аннушка"" - это отличное сочетание комфорта, цены и сервиса. Расположение на Гутуевском острове в шаговой доступности от Государственного университета морского и речного флота имени адмирала С.О. Макарова, ворот Морского порта, Адмиралтейских верфей, Балтийской таможни, РосМорПорта и др. без сомнений сделает его лучшим выбором для командировки.","87 прекрасно оборудованных просторных номеров,
- бесплатный Wi-Fi,
- отличное транспортное сообщение с центром Санкт-Петербурга, железнодорожными вокзалами и аэропортом Пулково (15 минут по ЗСД),
- охраняемая парковка для легковых автомобилей,
- удобная парковка для туристических автобусов,
- ресторан,
- конференц-возможности,
- современный фитнес-зал,
- сауна, бильярд, студия красоты,
- туристические услуги: трансфер, визовая поддержка, организация экскурсий, сувенирный магазин,
- безопасность,
- заботливый квалифицированный англоговорящий персонал.","59.912409,30.259759"
