ID в ИС ГТИБД,Название,Название (англ.),Тип,Адрес (ручной),Телефоны,Сайт,Электронная почта,Доступно для людей с ограниченными возможностями,ОГРН,ИНН,Координаты
4312,Академический драматический театр имени В.Ф. Комиссаржевской,Komissarzhevskaya Academic Drama Theatre,гос. городское учреждение,"191186, Санкт-Петербург, Итальянская ул., д.19",+7(812)3155355; +7(812)5713102;,www.teatrvfk.ru,teatr@teatrvfk.ru,0,1027809234090.0,7808038086.0,"59.935978,30.334948"
4313,Академический малый драматический театр – Театр Европы,Maly Drama Theatre - Theatre of Europe,гос. федеральное учреждение,"191002, Санкт-Петербург, ул. Рубинштейна, д.18",+7 (812) 713-20-78; 575‑73-54,www.mdt-dodin.ru,mdt.sp.ru@mail.ru,0,1027809232406.0,7808037195.0,"59.930124,30.34536"
4314,Академический театр балета под руководством Бориса Эйфмана,Boris Eifman Academic Ballet Theatre,гос. городское учреждение,"191028, Санкт-Петербург, Гагаринская ул., д.32, лит. В",+7 (812) 578 50 39; +7 (812) 579 11 20,www.eifmanballet.ru,info@eifmanballet.com,0,1027806889978.0,7813045201.0,"59.94335,30.343437"
4315,Академический театр комедии имени Н.П. Акимова,Akimov State Academic Comedy Theatre,гос. городское учреждение,"191023, Санкт-Петербург, Невский пр., д.56",+7(812) 312 45 55; +7(812) 314 25 01,http://akimovkomedia.ru/,teatr@akimovkomedia.ru,0,1027809181542.0,7808030376.0,"59.93406,30.3382"
4316,Александринский театр (Российский государственный академический театр драмы им. А.С. Пушкина),Alexandrinsky Theatre,гос. федеральное учреждение,"191023, Санкт-Петербург, Островского пл., д.6",+7(812) 312 15 45,www.alexandrinsky.ru,theatre@alexandrinsky.ru,1,1037843017761.0,7808006670.0,"59.930705,30.337886"
4318,Большой драматический театр им. Г.А. Товстоногова,Tovstonogov Bolshoy Drama Theatre,гос. федеральное учреждение,"191023, Санкт-Петербург, набережная реки Фонтанки, д.65",+7 812 244-10-71; 244-10-75,www.bdt.spb.ru,bdt@bdt.spb.ru,0,1037843003747.0,7808004288.0,"59.927351,30.330924"
4319,Государственный академический Мариинский театр,Mariinsky Theatre,федеральное государственное бюджетное учреждение культуры,"190000, Санкт-Петербург, Театральная пл., 1",+7(812)7145924; +7(812)3264141; +7(812)3264196,www.mariinsky.ru,post@mariinsky.ru,0,1027810251006.0,7812024600.0,"59.925389,30.296024"
4320,Государственный балет на льду Санкт-Петербурга,St. Petersburg State Ballet on Ice,гос. городское учреждение,"191144, Санкт-Петербург, 8-я советская ул., 56, лит. A","(812) 577-47-00, (812) 577-47-04",www.balletonice.spb.ru,iceballet@yandex.ru,0,1027809246024.0,7803019724.0,"59.933848,30.381661"
4321,"Государственный драматический театр ""Приют комедианта""","""Comedian's Refuge"" Drama Theatre",гос. городское учреждение,"191023, Санкт-Петербург, Cадовая ул., 27/9","+7 (812) 310-10-74, +7 (812) 310-32-77, +7 (812) 310-33-09",www.pkteatr.ru,admin@pkteatr.ru,0,1027810260653.0,7812044660.0,"59.929164,30.323162"
4322,"Государственный Пушкинский театральный центр в Санкт-Петербурге ""Пушкинская Школа""","Studio Theatre ""Pushkin School""",гос. федеральное учреждение,"191023, Санкт-Петербург, наб. р. Фонтанки, 41","710-48-48, 710-44-07, 710-47-25",www.pushkincenter.ru,"gptcspb@bk.ru, pushkin_centre@mail.ru",0,1037843012756.0,7825337223.0,"59.93057,30.339332"
